temperature,pressure,specific_volume,specific_internal_energy,specific_enthalpy,specific_entropy,temperature$uncertainty,pressure$uncertainty,specific_volume$uncertainty,specific_internal_energy$uncertainty,specific_enthalpy$uncertainty,specific_entropy$uncertainty,$citation
584.15,10000000.0,0.0014522,1393300.0,1407900.0,3360.3,0.0,0.0,8.835000000000006e-05,132400.0,136500.0,238.10000000000014,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
273.15,10000000.0,0.0009952,120.0,10070.0,0.3,0.0,0.0,1.0500000000000526e-06,41595.0,41605.0,147.0,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
293.15,10000000.0,0.0009973,83310.0,93280.0,294.3,0.0,0.0,1.0500000000000526e-06,41510.0,41545.0,137.1,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
313.15,10000000.0,0.0010035,166330.0,176370.0,568.5,0.0,0.0,3.100000000000021e-06,41510.0,41545.0,128.75,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
333.15,10000000.0,0.0010127,249430.0,259550.0,826.0,0.0,0.0,4.600000000000003e-06,41550.0,41590.0,121.54999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
353.15,10000000.0,0.0010244,332690.0,342940.0,1069.1,0.0,0.0,5.8499999999999525e-06,41630.0,41695.0,115.25000000000011,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
373.15,10000000.0,0.0010385,416230.0,426620.0,1299.6000000000001,0.0,0.0,7.049999999999982e-06,41770.0,41840.0,109.74999999999989,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
393.15,10000000.0,0.0010549,500180.0,510730.0,1519.1,0.0,0.0,8.199999999999982e-06,41975.0,42055.0,105.10000000000002,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
413.15,10000000.0,0.0010738,584720.0,595450.0,1729.3,0.0,0.0,9.45000000000004e-06,42270.0,42360.0,101.14999999999998,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
433.15,10000000.0,0.0010954,670060.0,681010.0,1931.6,0.0,0.0,1.0800000000000046e-05,42670.0,42780.0,97.75,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
453.15,10000000.0,0.00112,756480.0,767680.0,2127.1,0.0,0.0,1.229999999999992e-05,43210.0,43335.0,95.15000000000009,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
473.15,10000000.0,0.0011482,844320.0,855800.0,2317.4,0.0,0.0,1.4100000000000072e-05,43920.0,44060.0,93.14999999999986,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
493.15,10000000.0,0.0011809,934010.0,945820.0,2503.7,0.0,0.0,1.6349999999999937e-05,44845.0,45010.0,91.95000000000027,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
513.15,10000000.0,0.0012192,1026200.0,1038300.0,2687.6000000000004,0.0,0.0,1.9150000000000005e-05,46095.0,46240.0,91.69999999999982,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
533.15,10000000.0,0.0012653,1121600.0,1134300.0,2871.0,0.0,0.0,2.3050000000000045e-05,47700.0,48000.0,91.69999999999982,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
